name,operatorAddress
Stake Village,evmosvaloper1kgrgr602emu8nc2rhfvt7pzxf33jfu4fgd204r
Expanding.space,evmosvaloper19ukysy0y8vftenua47390kmg82t8explqkj4gy
 SpacePepe Labs ,evmosvaloper1vm5fvg57aeqp7xwl3umev7z0364jzvcfzlnfew
2xStake.com,evmosvaloper1ur0zjltn3qs5xzx4rn8ekr828f4tglyhu50c0w
Blockwavelabs,evmosvaloper1l840d9sse36j9cvzgq98vennrzuu5l70l5shhc
LuckyFriday.io,evmosvaloper1aaldzsaw0rv4qk2587hy3uyg25qpmgd43w38er
BouBouNode,evmosvaloper15hmhnl5h3e248ms0vz2p7ax2e422a2zezjzk38
Oldcat,evmosvaloper1qgzmsvu7n96u006kne6w0u4jqxdj52u9yjxn7w
SkySkipper,evmosvaloper1wvcavhfkww5ccyl6a3fme0tpmucz6n5hxc0xzw
AgoraNodes,evmosvaloper1d4d8cgds89t9a9uph9hr9wp7vzkdcvn9hlkh7w
Pepe Federation,evmosvaloper16p42g8ej2wxn7ss83jnd8ssk27jz3fs2n6nmav
IBCC DAO,evmosvaloper13kx2jlq8p8ntl225wxf83ef89900jzm43kcdkq
Node,evmosvaloper1wyngm5v0gua79ye0v7gxzfrgfl94stdydelvt9
Kitkat,evmosvaloper1zd9n9lcwm9nq2m35perm0z5r7afnqyu5kprdyl
Enigma,evmosvaloper12ecxrqsppsltlaktqagqw6zyapmwkrsra40dh3
Pulsar lowest fee,evmosvaloper1xu3vxzyszxmf6rh4kcv7htup25az84yl7pk673
votes4volunteers,evmosvaloper1kplw4kngrepaclp8570ampuqxuuuugkg2wsxaw
Devmos | Liquid Staking,evmosvaloper1fcej54hr34ue520ehwmty6wvyhqtna0td8kngl
Easy 2 Stake,evmosvaloper17y54dsn8hs6sv9n4z9dm77mwe79kav4eyeqher
Wave,evmosvaloper1y48avyjalxpnd3kt9pneralmp4fj8j04umtq7n
DokiaCapital,evmosvaloper1el42w8xtf33ae6mv2h9g2xug6mll4vx7xgc900
UNSTAKE_FROM_ME,evmosvaloper1az0eeqw5222en0enxz9ect3s8xy4kayznccgjh
kokos,evmosvaloper16xfg4dtls7ysxyvc4swycz2k80p3qkesx88nss
SeltonStake,evmosvaloper1ugsep4ll0a5045psg02qkld9ktr3ycxljcqzx5
Deactivated,evmosvaloper1a36r4jvcprvewxnr2qhfs0h4spec35238s2h7t
DECALI.io,evmosvaloper10ygr8es32ydjkg3zeufvxu526zn8q65acatw6r
Inactive Validator,evmosvaloper13xh50decza8q4ud97ts2epvmtcxnug0tjl532z
SkyNet | Validators,evmosvaloper1u77wfdmv0gj30z0y3wcmdja026vtwjlcsx8mrn
Ubik Capital,evmosvaloper1t5expl5j0wdvs7x9njp2x8t7a224wrlpe825u3
spellbooks.tech ,evmosvaloper1ypulj5qlwhrd2f82ewsf3cvp28rd68vungurfp
redelegate_please,evmosvaloper1ugdc7s6rpf99x0y30h3ygrr5xy0aus63dpqqhz
Let's Node!,evmosvaloper1vvjw4652wfnkn596va77ltewe02mkf7qlj7n3l
Knowable,evmosvaloper107mlv7f87ckvg6rg7mhrhlqylv35pq6kv8fme2
openbitlab-unbounding,evmosvaloper1j5nfqc0pa3575t8pz3t2huqpcauj96tyxdkuhs
Maxxroot,evmosvaloper1mj7hacrfuemmkt7mcjkgps9d7revrk6ylfus3n
redelegate,evmosvaloper1g9rcsa8sr6utp073pdtvqg5xvynv00vshrh5gu
undelegate,evmosvaloper1ffvhfte7wgc3sxy2msp423xlgj9ja4mfatusy0
artifact,evmosvaloper1lyqj60nv007tvsuvyhuu08gldlfzwq28rwxrjx
nodesUP,evmosvaloper1dkw5nng63jk7fye989zhw4jlfs6r8v233ptfwv
PLEASE REDELEGATE,evmosvaloper1qn4nakz5mj8g8drcfz5mway89fwkyf5rpj8dfg
Vanlee,evmosvaloper1can8lfdushdmp8z9zm82dmpt6gz3r2rsxrs8gw
Alt,evmosvaloper1kwjrhfpkhmrn97rz66d5j5s7wjswf5z0emyhgm
Stakepile,evmosvaloper1kxlk7uea4eewqgcynkwmgzgqetmyqtme0c9txw
Please Redelegate Elsewhere,evmosvaloper1vkrhllc9ufpymtgpxhaqfp8qcxw7cnhuk3c6l6
Do NOT delegate - inactive validator,evmosvaloper1cxv3qjqch9dntx8dzddkrq6stwf6xu07xlm8st
stake2earn,evmosvaloper1mxeqxy6v9wqgfqljw6af44ygcgrya7wv04jeur
Darvin,evmosvaloper1zqf4s6t0r4elu07krs5kquf6meme2qm54hzhsf
LiveRaveN,evmosvaloper18smfdr4zqavhs080cjtf9c0s4x9nzfwx4k02q5
Old Validator,evmosvaloper1tuup69wz94u62g9tjuphj3vuvqyh3t006h4l0n
Please Redelegate,evmosvaloper1454caan87y0828wkpwrp77zs59jhddx9pchcqy
WeStaking,evmosvaloper152644qg2h4qmqutftr9fnug0ypxw2apmjgk6rp
BartestneT,evmosvaloper1ny0dzf3wkutdfgxkk6us0xwal7gpuj4hnecw23
Saturn,evmosvaloper1w0dmlxd3rywxwcdsjgevjyc87gh32s205dyh90
Synthex,evmosvaloper1p3krr2vet7khftlfhxhp47wu4ce7at0adqnt34
staker-space,evmosvaloper102jhnxtf9fuaclxwh2r6cg84ml8yzf2unwdl77
rxpwnz  | Genesis Validator,evmosvaloper1wzx5g45x7reftxzl3ss0lgk0wh08egmyrg0uhy
STC Capital,evmosvaloper16p2mdzfj5crncwpuxp6ar5mnsq4cn6mv2gvt02
.,evmosvaloper1z8gn6dmcjv8uph2snz2qcq9jflqdkcy2qudkpz
UniverseDAO,evmosvaloper1ykfvkw7srrdm4vcwwuxuhj6ycvt7mdyadenaf5
Four Moons,evmosvaloper1he7q8w8fnsdh7r6m3h53h7p8k3648hhz2vwcuy
Royal Validator ,evmosvaloper12snku970xte58lx9xngewmmsc9kv039wg5hdsz
STAKE MARS,evmosvaloper13xc78t8vte4ta4p5jg9gcxq6w376qfd7lg70jp
Pulse Stars,evmosvaloper186u36jta2hsxgk5lg8mr6t6fn7r35knxxemkf4
CafeValidator,evmosvaloper13lnsd9psz0usm5gy6y55xp4v64kt54ltnlhmmm
Orbital Command,evmosvaloper1f02m4jkx2p9r9ps50j87e0kmjaggru07lldfwy
i1off,evmosvaloper1vs0vvzpudrattan5pqs9caa38uavj4679rt5pn
Summit Node - Pls Redelegate,evmosvaloper192gu3czvj3x6rp5fe6vl6vsaw95g86uqlsayla
Out of active set,evmosvaloper1x956sa74evkx4tma64s7hxaa3lrsrfmvqnvhrv
Sigma,evmosvaloper1gxfglzw5g8l429fewcwfrdhtfml2qtysp8t8nm
Stake-Take,evmosvaloper1adl6xd3klu689caymhn6hhakpfues5e30n5p3m
Apple juice ,evmosvaloper1txjps3yasu4vk8wglwhsmfwgglsvn80v26mhyy
OZMAGE - REDELEGATE TO ZENITH STATION,evmosvaloper1aafywn5c85v2m06wr9famd0p4wp8grt0pcsfsy
